40
20	96	93	95	24	1	69	54	52	70	35	48	52	8	26	26	55	0	44	5	75	90	62	97	92	50	14	35	59	7	68	48	94	83	96	67	72	95	51	55
44	39	1	21	6	53	68	78	10	6	56	42	65	30	22	81	39	44	0	73	67	70	57	4	30	69	99	72	35	22	73	44	25	58	27	58	46	2	84	1
36	88	35	1	8	97	18	73	82	2	10	30	64	6	85	20	44	5	73	0	21	41	17	7	22	86	77	95	1	37	67	92	27	23	73	29	40	90	52	26
16	81	4	84	52	49	77	33	7	52	59	30	6	62	28	87	53	75	67	21	0	4	97	43	46	80	99	68	39	4	21	33	59	35	55	56	12	46	64	17
2	15	50	69	94	28	19	50	6	19	33	17	26	86	14	47	32	90	70	41	4	0	23	20	85	59	52	49	70	45	69	30	74	14	16	40	72	84	62	77
90	73	55	6	11	36	54	32	32	91	64	44	52	70	89	37	33	62	57	17	97	23	0	15	65	33	83	43	30	56	98	80	75	33	9	26	32	88	60	66
41	36	93	64	92	14	92	56	98	47	79	50	20	33	49	52	27	97	4	7	43	20	15	0	39	94	68	21	73	81	50	21	77	22	61	64	14	66	6	19
4	63	33	82	31	42	71	90	5	64	18	72	51	63	49	14	43	92	30	22	46	85	65	39	0	53	21	69	11	27	16	33	76	49	42	20	6	76	14	96
48	53	53	23	61	68	7	33	75	74	66	81	6	23	16	30	91	50	69	86	80	59	33	94	53	0	76	37	7	14	89	2	87	25	57	30	8	65	28	91
15	61	52	17	60	22	52	26	74	65	53	16	12	57	11	49	27	14	99	77	99	52	83	68	21	76	0	72	28	26	65	36	28	46	61	27	31	64	11	96
62	12	35	66	59	57	61	90	76	38	48	41	78	61	82	7	65	35	72	95	68	49	43	21	69	37	72	0	7	13	84	61	74	5	88	61	29	32	55	45
44	74	96	51	17	60	4	91	48	24	85	59	72	100	83	25	75	59	35	1	39	70	30	73	11	7	28	7	0	79	28	20	22	40	26	91	54	43	98	27
80	43	82	26	98	39	72	67	24	54	53	16	26	64	58	92	45	7	22	37	4	45	56	81	27	14	26	13	79	0	20	17	40	11	45	51	88	59	61	18
36	10	29	51	24	29	41	73	72	6	81	35	87	80	24	10	5	68	73	67	21	69	98	50	16	89	65	84	28	20	0	62	29	57	76	62	77	10	78	14
3	93	3	48	53	55	7	85	73	71	89	15	69	91	80	94	81	48	44	92	33	30	80	21	33	2	36	61	20	17	62	0	100	73	76	38	92	88	28	59
16	60	8	83	15	82	11	47	36	74	60	58	1	3	55	80	12	94	25	27	59	74	75	77	76	87	28	74	22	40	29	100	0	92	54	15	27	93	3	76
67	95	7	4	61	14	17	73	83	2	17	76	42	67	14	27	41	83	58	23	35	14	33	22	49	25	46	5	40	11	57	73	92	0	28	66	90	26	11	16
97	20	13	77	47	84	28	52	59	10	77	10	96	74	87	24	1	96	27	73	55	16	9	61	42	57	61	88	26	45	76	76	54	28	0	26	84	43	5	90
58	34	50	39	88	98	87	69	97	74	93	59	9	77	75	7	82	67	58	29	56	40	26	64	20	30	27	61	91	51	62	38	15	66	26	0	87	18	25	56
53	36	76	40	44	92	44	62	1	34	56	54	65	83	14	34	36	72	46	40	12	72	32	14	6	8	31	29	54	88	77	92	27	90	84	87	0	80	70	18
41	91	86	62	82	78	64	19	96	52	72	100	27	92	32	60	91	95	2	90	46	84	88	66	76	65	64	32	43	59	10	88	93	26	43	18	80	0	25	47
15	32	91	30	92	88	62	75	53	24	36	33	35	71	39	72	22	51	84	52	64	62	60	6	14	28	11	55	98	61	78	28	3	11	5	25	70	25	0	84
56	8	76	55	13	71	80	78	34	54	4	17	85	55	47	91	7	55	1	26	17	77	66	19	96	91	96	45	27	18	14	59	76	16	90	56	18	47	84	0
